2017-03-08 15:50:21.321  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : Starting MicroserviceGraphBuilderServiceImplTest with PID 24928 (started by bernie in /home/bernie/project/mgp-all/mgpback)
2017-03-08 15:50:21.322  INFO 24928 --- [main] .MicroserviceGraphBuilderServiceImplTest : The following profiles are active: log
2017-03-08 15:50:21.353  INFO 24928 --- [main] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7dfb0c0f: startup date [Wed Mar 08 15:50:21 CST 2017]; root of context hierarchy
2017-03-08 15:50:21.975  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:22.025  INFO 24928 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2017-03-08 15:50:23.020  INFO 24928 --- [main] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 0 (http)
2017-03-08 15:50:23.037  INFO 24928 --- [main] o.apache.catalina.core.StandardService   : Starting service Tomcat
2017-03-08 15:50:23.040  INFO 24928 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.5.11
2017-03-08 15:50:23.136  INFO 24928 --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2017-03-08 15:50:23.137  INFO 24928 --- [localhost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1787 ms
2017-03-08 15:50:23.313  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
2017-03-08 15:50:23.314  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-03-08 15:50:23.314  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-03-08 15:50:23.314  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
2017-03-08 15:50:23.314  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'corsFilter' to: [/*]
2017-03-08 15:50:23.315  INFO 24928 --- [localhost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean  : Mapping servlet: 'dispatcherServlet' to [/]
2017-03-08 15:50:24.099  INFO 24928 --- [main] org.mongodb.driver.cluster               : Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2017-03-08 15:50:24.100  INFO 24928 --- [main] org.mongodb.driver.cluster               : Adding discovered server localhost:27017 to client view of cluster
2017-03-08 15:50:24.158  INFO 24928 --- [cluster-ClusterId{value='58bfb7c08bee296160b996cf', description='null'}-localhost:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:1, serverValue:46}] to localhost:27017
2017-03-08 15:50:24.160  INFO 24928 --- [cluster-ClusterId{value='58bfb7c08bee296160b996cf', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 2]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, roundTripTimeNanos=813614}
2017-03-08 15:50:24.162  INFO 24928 --- [cluster-ClusterId{value='58bfb7c08bee296160b996cf', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Discovered cluster type of STANDALONE
2017-03-08 15:50:24.345  INFO 24928 --- [main] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:2, serverValue:47}] to localhost:27017
2017-03-08 15:50:25.101  INFO 24928 --- [main] o.s.d.neo4j.mapping.Neo4jMappingContext  : No class information found in OGM meta-data for class org.springframework.web.client.RestTemplate so treating as simple type for SD Commons
2017-03-08 15:50:25.102  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.codegen.client.CodeGenClientImpl when creating persistent property for field: private final org.springframework.web.client.RestTemplate soselab.mpg.codegen.client.CodeGenClientImpl.restTemplate
2017-03-08 15:50:25.103  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.codegen.client.CodeGenClientImpl when creating persistent property for field: private java.lang.String soselab.mpg.codegen.client.CodeGenClientImpl.url
2017-03-08 15:50:25.104  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.client.dto.UrlDTO when creating persistent property for field: private java.lang.String soselab.mpg.bdd.client.dto.UrlDTO.url
2017-03-08 15:50:25.105  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.client.BDDClientImpl when creating persistent property for field: private final org.springframework.web.client.RestTemplate soselab.mpg.bdd.client.BDDClientImpl.restTemplate
2017-03-08 15:50:25.105  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.client.BDDClientImpl when creating persistent property for field: private java.lang.String soselab.mpg.bdd.client.BDDClientImpl.url
2017-03-08 15:50:25.106  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.client.BDDClientImpl when creating persistent property for field: null
2017-03-08 15:50:25.106  WARN 24928 --- [main] o.s.d.n.mapping.Neo4jPersistentProperty  : No identity field found for class of type: soselab.mpg.bdd.client.BDDClientImpl when creating persistent property for field: null
